operational_date_0700,timestamp_jst,event_type,species,length_cm_raw,size_class,sex,behavior,micro_position,road_surface,area,lat,lon
2026-09-05,2026-09-05T23:54:00+09:00,USER_CAPTURE,ハブ,130-140,中型,メス,とぐろ,道路脇,ウエット,節子,28.1645522210766,129.3905931162695
2026-09-05,2026-09-05T23:58:00+09:00,USER_CAPTURE,ハブ,150-160,大型,メス,とぐろ,道路脇,ウエット,節子,28.16395791789445,129.392508488569
2026-09-05,2026-09-06T01:33:00+09:00,USER_CAPTURE,ハブ,100-120,境界含む要実長確認,不明,移動中,道路中央,ウエット,嘉徳,28.18594378571125,129.3969946611967
2026-09-05,2026-09-06T01:59:00+09:00,USER_CAPTURE,ハブ,130-140,中型,オス,とぐろ,山裾,ウエット,節子周辺,28.17179711407563,129.3982904224454
