ID,日付,時刻,種別,イベント,数,サイズ,地域,緯度,経度,天候,気温,月齢,潮,上げ下げ,運用日_7時,運用月,ソース
95,2026-06-10,20:03,ハブ,捕獲,1,小,瀬戸内町清水161,28.13607411185581,129.3303937109416,霧雨,,,,,46183,2026-06,user_log_2026-06-10
96,2026-06-10,21:07,ハブ,捕獲,1,小,瀬戸内町節子,28.1687168264842,129.3814804545016,霧雨〜小雨,,,,,46183,2026-06,user_log_2026-06-10
97,2026-06-10,21:09,ハブ,捕獲,1,小,瀬戸内町節子,28.16691944207961,129.3820700122467,霧雨〜小雨,,,,,46183,2026-06,user_log_2026-06-10
98,2026-06-10,21:20,ハブ,捕獲,1,中,瀬戸内町節子,28.16587232385011,129.3876062422913,小雨,,,,,46183,2026-06,user_log_2026-06-10
99,2026-06-10,21:20,ハブ,捕獲,1,大,瀬戸内町節子,28.16578169556139,129.3876294576924,小雨,,,,,46183,2026-06,user_log_2026-06-10
100,2026-06-13,00:04,ハブ,捕獲,1,中,瀬戸内町阿木名2094,28.17133114607373,129.3354712152556,不明,,,,,46186,2026-06,user_log_2026-06-12_13
101,2026-06-13,01:12,ハブ,捕獲,1,小,瀬戸内町嘉徳,28.19696823585628,129.3902795548619,雨後,,,,,46186,2026-06,user_log_2026-06-12_13
102,2026-06-13,03:17,ハブ,捕獲,1,小,瀬戸内町県道626号ハートの見える景色付近(嘉鉄),28.14088495230628,129.3509162699253,不明,,,,,46186,2026-06,user_log_2026-06-12_13
104,2026-06-16,21:31,ハブ,捕獲,1,中,瀬戸内町節子1335,28.16552281179552,129.3831231911986,小雨〜雨後,,,,,46189,2026-06,user_log_2026-06-16
105,2026-06-13,22:13,ハブ,捕獲,1,小,瀬戸内町節子,28.17024734439429,129.3778770850808,雨後,,,,,46186,2026-06,user_log_complete_to_2026-06-18
106,2026-06-14,00:08,ハブ,捕獲,1,小,瀬戸内町網野子,28.19376785903152,129.3639642708495,雨後,,,,,46187,2026-06,user_log_complete_to_2026-06-18
107,2026-06-14,01:49,ハブ,捕獲,1,小,瀬戸内町網野子,28.1761333435208,129.3635963012181,雨後,,,,,46187,2026-06,user_log_complete_to_2026-06-18
108,2026-06-17,22:43,ハブ,捕獲,1,小,瀬戸内町嘉徳,28.19297614510003,129.3990086206509,霧後〜雨前,,,,,46190,2026-06,user_log_complete_to_2026-06-18
109,2026-06-17,23:27,ハブ,捕獲,1,小,瀬戸内町網野子,28.17408593374134,129.3639223092509,雨〜小雨後,,,,,46190,2026-06,user_log_complete_to_2026-06-18
