ID,日付,時刻,種別,イベント,数,サイズ,地域,緯度,経度,天候,気温,月齢,潮,上げ下げ,運用日_7時,運用月,ソース
61,2026-05-03,21:46,ハブ,捕獲,1,中,勝浦,,,ファイル確認ログ,,16.3,,,46145,2026-05,May recovered
62,2026-05-05,不明,ハブ,捕獲,1,,不明,,,記憶復旧,,18.3,,,46147,2026-05,May recovered
63,2026-05-07,不明,ハブ,捕獲,1,,不明,,,記憶復旧,,20.3,,,46149,2026-05,May recovered
64,2026-05-09,不明,ハブ,捕獲,1,,山上より下,,,5/9記録,,22.3,,,46151,2026-05,May recovered
65,2026-05-13,20:20,ハブ,捕獲,1,,嘉徳,28.19478892767375,129.3877447170096,,,26.3,,,46155,2026-05,May recovered
66,2026-05-13,20:56,ハブ,捕獲,1,,嘉徳〜節子,28.18021386119517,129.3940415819799,,,26.3,,,46155,2026-05,May recovered
67,2026-05-15,21:03,ハブ,捕獲,1,,阿木名,28.16646677039707,129.3375946564469,,,28.3,,,46157,2026-05,May recovered
68,2026-05-15,22:05,ハブ,捕獲,1,,勝浦,28.18383006727452,129.3607738229703,,,28.3,,,46157,2026-05,May recovered
69,2026-05-18,20:52,ハブ,捕獲,1,小,節子,28.1688802151448,129.3810057293118,,,1.8,,,46160,2026-05,May recovered
70,2026-05-18,21:51,ハブ,捕獲,1,大,節子,28.17422778898654,129.3970220166341,,,1.8,,,46160,2026-05,May recovered
71,2026-05-18,23:09,ハブ,捕獲,1,大,不明,,,小雨後,,1.8,,,46160,2026-05,May recovered
72,2026-05-19,22:47,ハブ,捕獲,1,極小,久根津1019,28.16879879685879,129.2981412169796,雨境界,,2.8,,,46161,2026-05,May recovered
73,2026-05-21,21:57,ハブ,捕獲,1,小,嘉徳〜節子,28.18025572532948,129.393983881406,小雨→本降り,,4.8,,,46163,2026-05,May recovered
74,2026-05-21,22:56,ハブ,捕獲,1,小,節子,28.17137603126234,129.3786636194121,霧発生後,,4.8,,,46163,2026-05,May recovered
75,2026-05-23,23:22,ハブ,捕獲,1,小,久根津806,28.16858429421111,129.2989171927936,霧雨高湿度,,6.8,,,46165,2026-05,May recovered
76,2026-05-24,00:13,ハブ,捕獲,1,小,県道79号,28.19108566366789,129.2915409920944,霧雨高湿度,,7.8,,,46166,2026-05,May recovered
77,2026-05-24,00:42,ハブ,捕獲,1,中,県道79号,28.2113036410536,129.2831765374371,霧雨高湿度,,7.8,,,46166,2026-05,May recovered
78,2026-05-24,23:51,ハブ,捕獲,1,極小,久根津1019,28.16876770791984,129.2977930157056,林道ウェット/集落側乾き気味,,7.8,,,46166,2026-05,May recovered
79,2026-05-27,23:06,ハブ,捕獲,1,小,県道612号,,,霧雨/湿り,26,,,,46169,2026-05,handoff_yaml_2026-05-30
81,2026-05-29,23:49,ハブ,捕獲,1,大,嘉徳,,,昼間晴れ/夜ドライ,,,,,46171,2026-05,handoff_yaml_2026-05-30
82,2026-05-30,00:17,ハブ,捕獲,1,小,国道58号網野子,,,昼間晴れ/夜ドライ,,,,,46172,2026-05,handoff_yaml_2026-05-30
83,2026-05-30,00:55,ハブ,捕獲,1,小,久根津806,,,昼間晴れ/夜ドライ,,,,,46172,2026-05,handoff_yaml_2026-05-30
84,2026-06-04,21:15,ハブ,捕獲,1,小,瀬戸内町清水173,28.13654484409532,129.3296125059078,不明,,,,,46177,2026-06,user_log_2026-06-04_05
85,2026-06-04,23:01,ハブ,捕獲,1,小,瀬戸内町節子 農道,28.16889317563843,129.3808443734128,不明,,,,,46177,2026-06,user_log_2026-06-04_05
86,2026-06-04,23:04,ハブ,捕獲,1,小,瀬戸内町節子 農道,28.16940751997438,129.3797662808815,不明,,,,,46177,2026-06,user_log_2026-06-04_05
87,2026-06-04,23:20,ハブ,捕獲,1,小,瀬戸内町節子 自衛隊林道,28.17394063521116,129.383009682215,不明,,,,,46177,2026-06,user_log_2026-06-04_05
88,2026-06-05,02:21,ハブ,捕獲,1,大,瀬戸内町県道79号ヘリポートより手安側,28.15396170336044,129.294300365735,不明,,,,,46178,2026-06,user_log_2026-06-04_05
91,2026-06-06,21:03,ハブ,捕獲,1,小,瀬戸内町節子,28.16502193292446,129.3745137475059,不明,,,,,46179,2026-06,user_log_2026-06-06_07
92,2026-06-06,21:31,ハブ,捕獲,1,小,瀬戸内町節子,28.16531944725171,129.3851085613232,不明,,,,,46179,2026-06,user_log_2026-06-06_07
93,2026-06-06,22:26,ハブ,捕獲,1,小,瀬戸内町嘉徳,28.19253467025998,129.3994197530014,不明,,,,,46179,2026-06,user_log_2026-06-06_07
94,2026-06-06,22:29,ハブ,捕獲,1,小,瀬戸内町嘉徳,28.19398549387995,129.3979672530008,不明,,,,,46179,2026-06,user_log_2026-06-06_07
