ID,日付,時刻,種別,イベント,数,サイズ,地域,緯度,経度,天候,気温,月齢,潮,上げ下げ,運用日_7時,運用月,ソース
111,2026-06-17,23:57,ハブ,捕獲,1,小,瀬戸内町阿木名958,28.17431396341712,129.3271901273442,雨後,,,,,46190,2026-06,user_log_complete_to_2026-06-18
112,2026-06-18,22:52,ハブ,捕獲,1,小,瀬戸内町節子,28.17099446827299,129.3796799929451,晴れ後,,,,,46191,2026-06,user_log_complete_to_2026-06-18
113,2026-06-19,00:06,ハブ,捕獲,1,小,瀬戸内町節子,28.18345568611117,129.3779552077217,霧前後,,,,,46192,2026-06,user_log_complete_to_2026-06-18
114,2026-06-19,00:29,ハブ,捕獲,1,小,瀬戸内町嘉徳,28.19427271104352,129.3977238722566,晴れ後,,,,,46192,2026-06,user_log_complete_to_2026-06-18
115,2026-06-19,01:04,ハブ,捕獲,1,極小,瀬戸内町網野子,28.18216902206482,129.3694877253187,霧後,,,,,46192,2026-06,user_log_complete_to_2026-06-18
117,2026-06-20,22:17,ハブ,捕獲,1,小,瀬戸内町節子,28.17200013904662,129.3794812170131,晴れ,,,,,46193,2026-06,user_log_2026-06-20_added_2026-06-23
118,2026-06-21,00:13,ハブ,捕獲,1,大,瀬戸内町嘉徳,28.19704258464521,129.3921015130903,晴れ/霧前,,,,,46194,2026-06,user_log_2026-06-20_added_2026-06-23
119,2026-06-21,02:27,ハブ,捕獲,1,小,瀬戸内町久根津806,28.16854704698684,129.2989658064317,晴れ,,,,,46194,2026-06,user_log_2026-06-20_added_2026-06-23
120,2026-06-21,02:42,ハブ,捕獲,1,小,瀬戸内町久根津806-2,28.16920872906329,129.29908098298,晴れ,,,,,46194,2026-06,user_log_2026-06-20_added_2026-06-23
121,2026-06-22,20:25,ハブ,捕獲,1,極小,瀬戸内町県道626号,28.13995356674133,129.3488402479601,晴れ,,,,,46195,2026-06,user_log_2026-06-22_added_2026-06-23
122,2026-06-22,20:58,ハブ,捕獲,1,小,瀬戸内町伊須,28.14887845231345,129.3591007025003,晴れ,,,,,46195,2026-06,user_log_2026-06-22_added_2026-06-23
123,2026-06-22,21:34,ハブ,捕獲,1,大,瀬戸内町節子,28.16740395199922,129.3703414131476,晴れ,,,,,46195,2026-06,user_log_2026-06-22_added_2026-06-23
125,2026-06-23,01:25,ハブ,捕獲,1,小,瀬戸内町手安595-1,28.15695814325306,129.2967246753437,晴れ,,,,,46196,2026-06,user_log_2026-06-22_added_2026-06-23
126,2026-06-23,01:39,ハブ,捕獲,1,小,瀬戸内町久根津806,28.16851581954322,129.29896949206,晴れ,,,,,46196,2026-06,user_log_2026-06-22_added_2026-06-23
127,2026-06-23,01:56,ハブ,捕獲,1,小,瀬戸内町県道79号,28.17965645961609,129.2937084146953,晴れ,,,,,46196,2026-06,user_log_2026-06-22_added_2026-06-23
129,2026-06-23,22:12,ハブ,捕獲,1,小,瀬戸内町嘉鉄1052,28.13903138975443,129.347404679404,晴れ,,,,,46196,2026-06,user_log_complete_2026-06-23_29_added_2026-06-29
130,2026-06-23,22:17,ハブ,捕獲,1,中,瀬戸内町県道626号,28.13999692924554,129.3488073088956,晴れ,,,,,46196,2026-06,user_log_complete_2026-06-23_29_added_2026-06-29
131,2026-06-23,23:25,ハブ,捕獲,1,小,瀬戸内町節子,28.16584876439437,129.3823566850042,晴れ,,,,,46196,2026-06,user_log_complete_2026-06-23_29_added_2026-06-29
132,2026-06-24,01:11,ハブ,捕獲,1,小,瀬戸内町嘉徳,28.19567866839056,129.3889395217803,霧後,,,,,46197,2026-06,user_log_complete_2026-06-23_29_added_2026-06-29
133,2026-06-24,02:06,ハブ,捕獲,1,大,瀬戸内町伊須,28.14553937831397,129.3561064617445,霧後,,,,,46197,2026-06,user_log_complete_2026-06-23_29_added_2026-06-29
135,2026-06-25,02:13,ハブ,捕獲,1,小,瀬戸内町久根津806,28.16842835247162,129.2990395428087,晴れ,,,,,46198,2026-06,user_log_complete_2026-06-23_29_added_2026-06-29
136,2026-06-25,03:49,ハブ,捕獲,1,小,瀬戸内町嘉徳,28.18574505717029,129.3781365414964,霧後,,,,,46198,2026-06,user_log_complete_2026-06-23_29_added_2026-06-29
137,2026-06-25,04:02,ハブ,捕獲,1,大,瀬戸内町嘉徳,28.19609570773468,129.3944510684983,霧後,,,,,46198,2026-06,user_log_complete_2026-06-23_29_added_2026-06-29
