ID,日付,時刻,種別,イベント,数,サイズ,地域,緯度,経度,天候,気温,月齢,潮,上げ下げ,運用日_7時,運用月,ソース
220,2026-08-13,21:04,ハブ,捕獲,1,中,阿木名,28.16596370234442,129.3383174166765,,,,,,46247,2026-08,ハブログ8月17日なう.txt
221,2026-08-13,23:32,ハブ,捕獲,1,小,節子,28.16531418620288,129.3843050275264,,,,,,46247,2026-08,ハブログ8月17日なう.txt
222,2026-08-15,21:48,ハブ,捕獲,1,大,嘉徳,28.18332996378373,129.3964131646259,,,,,,46249,2026-08,ハブログ8月17日なう.txt
223,2026-08-15,23:20,ハブ,捕獲,1,小,節子,28.16694657884455,129.371365754195,,,,,,46249,2026-08,ハブログ8月17日なう.txt
224,2026-08-16,00:25,ハブ,捕獲,1,小,久根津598,28.17024216566392,129.3029272593291,,,,,,46250,2026-08,ハブログ8月17日なう.txt
226,2026-08-17,21:47,ハブ,捕獲,1,小,嘉鉄1400,28.13869737651483,129.346271681204,,,,,,46251,2026-08,ハブログ8月17日なう.txt
227,2026-08-18,00:48,ハブ,捕獲,1,小,嘉徳,28.19180829076465,129.3972451529137,,,,,,46252,2026-08,ハブログ8月17日なう.txt
229,2026-08-19,23:02,ハブ,捕獲,1,大,子,28.17714901167268,129.3944732250466,,,,,,46253,2026-08,8:2~8:29ハブ.txt
230,2026-08-19,23:42,ハブ,捕獲,1,大,徳,28.19077610995356,129.3981206074766,,,,,,46253,2026-08,8:2~8:29ハブ.txt
231,2026-08-20,00:35,ハブ,捕獲,1,大,子,28.16427678079018,129.3935010389535,,,,,,46254,2026-08,8:2~8:29ハブ.txt
232,2026-08-20,01:44,ハブ,捕獲,2,小,,28.16778586387698,129.2996370514489,,,,,,46254,2026-08,8:2~8:29ハブ.txt
233,2026-08-20,01:49,ハブ,捕獲,1,極小,根津854,,,,,,,,46254,2026-08,8:2~8:29ハブ.txt
234,2026-08-24,00:02,ハブ,捕獲,1,小,徳,28.19081506904525,129.3980626956513,,,,,,46258,2026-08,8:2~8:29ハブ.txt
235,2026-08-24,00:04,ハブ,捕獲,1,小,徳,28.19212476906661,129.3972355960724,,,,,,46258,2026-08,8:2~8:29ハブ.txt
236,2026-08-24,02:48,ハブ,捕獲,1,小,根津,28.17491855810635,129.3047488375334,,,,,,46258,2026-08,8:2~8:29ハブ.txt
237,2026-08-24,21:10,ハブ,捕獲,1,大,,28.18546459772124,129.3077046392419,,,,,,46258,2026-08,8:2~8:29ハブ.txt
238,2026-08-24,23:58,ハブ,捕獲,1,中,子,28.16462460150211,129.3950149001608,,,,,,46258,2026-08,8:2~8:29ハブ.txt
239,2026-08-25,00:51,ハブ,捕獲,1,大,,28.1690951721759,129.3960943922356,,,,,,46259,2026-08,8:2~8:29ハブ.txt
240,2026-08-28,00:00,ハブ,捕獲,1,中,浦,28.20200096298877,129.3336386706646,,,,,,46262,2026-08,8:2~8:29ハブ.txt
241,2026-08-28,01:33,ハブ,捕獲,1,大,,28.17851087450027,129.3936608906294,,,,,,46262,2026-08,8:2~8:29ハブ.txt
242,2026-08-28,02:08,ハブ,捕獲,1,大,,28.16487173937742,129.3963884045194,,,,,,46262,2026-08,8:2~8:29ハブ.txt
243,2026-08-28,22:06,ハブ,捕獲,1,大,,28.19118691264734,129.3052247979414,,,,,,46262,2026-08,8:2~8:29ハブ.txt
244,2026-08-28,22:45,ハブ,捕獲,1,中,,28.20877910731837,129.3321632792886,,,,,,46262,2026-08,8:2~8:29ハブ.txt
245,2026-08-29,01:22,ハブ,捕獲,1,大,子,28.16458473778522,129.3883753548703,,,,,,46263,2026-08,8:2~8:29ハブ.txt
246,2026-08-29,02:26,ハブ,捕獲,1,中,徳,28.18987315213858,129.3973380976556,,,,,,46263,2026-08,8:2~8:29ハブ.txt
247,2026-08-29,23:58,ハブ,捕獲,1,,,28.16425126563035,129.3933922738547,,,,,,46263,2026-08,8:2~8:29ハブ.txt
