night,segment_id,spatial_label,reconstruction_confidence,sample_weight,segment_support_fraction,support_sessions,template_session_file,reconstruction_source,learning_row_source,historical_time_reconstructed,highway,length_m,bearing_deg,curvature_deg,road_class_code,junction_distance_m,stream_distance_m,coast_distance_m,forest_distance_m,farmland_distance_m,residential_distance_m
2026-05-13,OSM_ro104_0_0,0,B-high,1.0,0.375,3,2026-08-17.gpx,later_gpx_template,historical_reconstructed_spatial_exposure,False,unclassified,10.000000000020389,240.61417216895742,0.0,10.0,4.979906250550977,667.2091814477424,949.9623596409426,2101.546306654286,5746.752990889647,6210.218975061978
2026-05-13,OSM_ro104_0_10,0,B-high,1.0,0.375,3,2026-08-17.gpx,later_gpx_template,historical_reconstructed_spatial_exposure,False,unclassified,10.00000000000274,210.66772118027194,16.334021587663244,10.0,100.18264989287279,757.4707307418693,1028.3641475254828,2006.1850048939448,5651.866293428584,6114.132620138673
2026-05-13,OSM_ro104_0_12,0,B-high,1.0,0.25,3,2026-08-17.gpx,later_gpx_template,historical_reconstructed_spatial_exposure,False,unclassified,10.00000000002552,245.75429725452608,0.0,10.0,117.7822939324598,770.5850232772198,1047.814493238381,1988.1425119787423,5633.578331372875,6096.990052978537
2026-05-13,OSM_ro104_0_13,0,B-high,1.0,0.375,3,2026-08-17.gpx,later_gpx_template,historical_reconstructed_spatial_exposure,False,unclassified,9.999999999979373,245.7542972551385,0.0,10.0,126.16041287349161,775.9003696117757,1057.7443463718557,1979.8036154574393,5625.0420256585385,6089.279806212535
2026-05-13,OSM_ro104_0_14,0,B-high,1.0,0.375,3,2026-08-17.gpx,later_gpx_template,historical_reconstructed_spatial_exposure,False,unclassified,10.000000000035234,236.9699325098763,10.394725486819084,10.0,135.02800543632992,781.8151811782791,1067.6925942810642,1971.1715017574077,5616.224547351265,6081.210750787908
2026-05-13,OSM_ro104_0_16,1,B-high,1.0,0.375,3,2026-08-17.gpx,later_gpx_template,historical_reconstructed_spatial_exposure,False,unclassified,9.999999999912404,180.40756160293617,16.858976874066485,10.0,153.8764033076037,798.9677468405722,1084.7620086553654,1952.317345183958,5597.3642117275685,6062.511706339612
2026-05-13,OSM_ro104_0_17,0,B-high,1.0,0.375,3,2026-08-17.gpx,later_gpx_template,historical_reconstructed_spatial_exposure,False,unclassified,9.999999999996351,171.34331737116747,3.695071954394507,10.0,161.4648498745679,808.588773408513,1088.8179456309485,1944.470826828868,5589.761838630986,6054.065991530962
2026-05-13,OSM_ro104_0_18,0,B-high,1.0,0.25,3,2026-08-17.gpx,later_gpx_template,historical_reconstructed_spatial_exposure,False,unclassified,10.000000000037213,169.96261480398346,0.0,10.0,168.90760167431046,818.053201286773,1092.315359248954,1937.0490871297607,5582.590396869244,6045.9717322664665
2026-05-13,OSM_ro104_0_19,0,B-high,1.0,0.375,3,2026-08-17.gpx,later_gpx_template,historical_reconstructed_spatial_exposure,False,unclassified,10.000000000036897,169.9626148039937,0.0,10.0,176.5758373206233,827.5171145978401,1095.851333121861,1929.6800211819948,5575.458189942101,6037.9086449508995
2026-05-13,OSM_ro104_0_2,0,B-high,1.0,0.375,3,2026-08-17.gpx,later_gpx_template,historical_reconstructed_spatial_exposure,False,unclassified,9.999999999955088,222.59250241009266,10.438914644751833,10.0,24.73962507256022,681.0665686909286,969.360461884688,2082.679746813242,5727.670537588348,6192.076290718434
2026-05-13,OSM_ro104_0_21,0,B-high,1.0,0.375,3,2026-08-17.gpx,later_gpx_template,historical_reconstructed_spatial_exposure,False,unclassified,10.000000000039975,175.1489037340167,0.0,10.0,193.1470843020213,846.7792618710985,1104.15853490391,1914.3026847145466,5560.485699533167,6021.1901013871775
