radius,bw,k_local,k_season,tau_days,eligible,nights_scored,median_error_min,mean_error_min,within_30m_hits,within_30m_rate,within_60m_hits,within_60m_rate,within_90m_hits,within_90m_rate,within_120m_hits,within_120m_rate,selection_score
3000,2.0,5,5,120.0,98,29,82.5,105.44897959183673,19,0.19387755102040816,40,0.40816326530612246,53,0.5408163265306123,67,0.6836734693877551,3.650722789115646
3000,2.0,5,10,120.0,98,29,82.5,105.44897959183673,19,0.19387755102040816,40,0.40816326530612246,53,0.5408163265306123,67,0.6836734693877551,3.650722789115646
3000,2.0,2,5,120.0,98,29,74.0,106.83673469387755,18,0.1836734693877551,39,0.3979591836734694,56,0.5714285714285714,66,0.673469387755102,3.6421201814058954
3000,2.0,2,10,120.0,98,29,74.0,106.83673469387755,18,0.1836734693877551,39,0.3979591836734694,56,0.5714285714285714,66,0.673469387755102,3.6421201814058954
3000,2.0,5,20,120.0,98,29,82.5,105.75510204081633,19,0.19387755102040816,40,0.40816326530612246,53,0.5408163265306123,66,0.673469387755102,3.640518707482993
3000,2.0,10,20,120.0,98,29,87.0,104.10204081632654,20,0.20408163265306123,39,0.3979591836734694,51,0.5204081632653061,67,0.6836734693877551,3.613860544217687
3000,2.0,2,20,120.0,98,29,76.0,107.14285714285714,18,0.1836734693877551,38,0.3877551020408163,56,0.5714285714285714,66,0.673469387755102,3.608730158730159
3000,2.0,10,5,120.0,98,29,87.0,104.61224489795919,19,0.19387755102040816,38,0.3877551020408163,51,0.5204081632653061,68,0.6938775510204082,3.552636054421769
3000,2.0,10,10,120.0,98,29,87.0,104.61224489795919,19,0.19387755102040816,38,0.3877551020408163,51,0.5204081632653061,68,0.6938775510204082,3.552636054421769
3000,2.0,5,20,240.0,98,29,85.0,107.28571428571429,18,0.1836734693877551,38,0.3877551020408163,53,0.5408163265306123,67,0.6836734693877551,3.545209750566894
