operational_date,bin_start_jst,route_10m_units,surveyed_distance_m,capture_count,positive_route10m_units,start_lat,start_lon,end_lat,end_lon,surveyed_distance_km,capture_per_10km
2026-09-05,2026-09-05T22:30:00+09:00,113,1130.0,0,0,28.1457593613,129.3199450497,28.13779159842554,129.32155536824536,1.13,0.0
2026-09-05,2026-09-05T22:40:00+09:00,402,4020.0,0,0,28.13771001927086,129.32159827224527,28.138671329671578,129.3463037140589,4.02,0.0
2026-09-05,2026-09-05T22:50:00+09:00,152,1520.0,0,0,28.138633398013035,129.34639434631916,28.143018101773688,129.35272384712718,1.52,0.0
2026-09-05,2026-09-05T23:00:00+09:00,271,2710.0,0,0,28.14309587295524,129.35267265622267,28.15645435876764,129.3517844036475,2.71,0.0
2026-09-05,2026-09-05T23:10:00+09:00,376,3760.0,0,0,28.156506502708687,129.35170134801155,28.17197676650218,129.346889238345,3.76,0.0
2026-09-05,2026-09-05T23:20:00+09:00,381,3810.0,0,0,28.17203031963643,129.34697117184388,28.16652200661274,129.3724201711654,3.81,0.0
2026-09-05,2026-09-05T23:30:00+09:00,222,2220.0,0,0,28.166483711119273,129.3725124517518,28.16539655808028,129.38745207449932,2.22,0.0
2026-09-05,2026-09-05T23:40:00+09:00,114,1140.0,0,0,28.16540889933264,129.38735599418817,28.164699338902377,129.39062701173444,1.14,0.0
2026-09-05,2026-09-05T23:50:00+09:00,76,760.0,2,2,28.164617025712054,129.39059445224834,28.164169233379337,129.39334233951737,0.76,26.315789473684212
2026-09-05,2026-09-06T00:00:00+09:00,107,1070.0,0,0,28.16424120615202,129.39339790073825,28.16823072947767,129.39550581789487,1.07,0.0
2026-09-05,2026-09-06T00:10:00+09:00,119,1190.0,0,0,28.16829616996873,129.39556855442765,28.17081415070147,129.39878928695825,1.19,0.0
2026-09-05,2026-09-06T00:20:00+09:00,123,1230.0,0,0,28.170903691076287,129.39878989932384,28.173585528323265,129.39562821529518,1.23,0.0
2026-09-05,2026-09-06T00:30:00+09:00,126,1260.0,0,0,28.1735368067912,129.39554680769442,28.17859853266506,129.39336721091632,1.26,0.0
2026-09-05,2026-09-06T00:40:00+09:00,156,1560.0,0,0,28.178641909834095,129.39345164596048,28.18512256924503,129.3972956693556,1.56,0.0
2026-09-05,2026-09-06T00:50:00+09:00,136,1360.0,0,0,28.185208791695086,129.39731853170326,28.18754261066967,129.39515575300524,1.36,0.0
2026-09-05,2026-09-06T01:00:00+09:00,105,1050.0,0,0,28.187600629451094,129.3952321263431,28.194685049465814,129.3973046247779,1.05,0.0
2026-09-05,2026-09-06T01:10:00+09:00,176,1760.0,0,0,28.19467689432509,129.39734640998623,28.189762794001943,129.39728025708732,1.76,0.0
2026-09-05,2026-09-06T01:20:00+09:00,133,1330.0,0,0,28.18970910739818,129.3971984724477,28.18610241030333,129.39920155281794,1.33,0.0
2026-09-05,2026-09-06T01:30:00+09:00,125,1250.0,1,1,28.186096235065694,129.3990999372341,28.180429877497794,129.39414771275275,1.25,8.0
2026-09-05,2026-09-06T01:40:00+09:00,155,1550.0,0,0,28.180379378655307,129.3940651524665,28.174183629666796,129.3945847209346,1.55,0.0
2026-09-05,2026-09-06T01:50:00+09:00,110,1100.0,1,1,28.174096118406418,129.39458098461645,28.171787622309015,129.39830982014416,1.1,9.09090909090909
2026-09-05,2026-09-06T02:00:00+09:00,121,1210.0,0,0,28.17173868906435,129.39828691797973,28.17051096591779,129.3962349301433,1.21,0.0
2026-09-05,2026-09-06T02:10:00+09:00,125,1250.0,0,0,28.17045730486463,129.39623298934012,28.16496564136775,129.39423924973184,1.25,0.0
2026-09-05,2026-09-06T02:20:00+09:00,122,1220.0,0,0,28.16489163184868,129.39418152796713,28.164674127197937,129.38849225128263,1.22,0.0
2026-09-05,2026-09-06T02:30:00+09:00,149,1490.0,0,0,28.164601259451686,129.3884341169414,28.165628257514427,129.38282580184713,1.49,0.0
2026-09-05,2026-09-06T02:40:00+09:00,184,1840.0,0,0,28.16566799757229,129.3827382018835,28.167065109534768,129.37624907864077,1.84,0.0
2026-09-05,2026-09-06T02:50:00+09:00,347,3470.0,0,0,28.16698787795196,129.37619685838067,28.173774147792333,129.3548665483452,3.47,0.0
2026-09-05,2026-09-06T03:00:00+09:00,424,4240.0,0,0,28.173780734244875,129.3547648028994,28.16084440729099,129.34670801197188,4.24,0.0
2026-09-05,2026-09-06T03:10:00+09:00,306,3060.0,0,0,28.16075488734872,129.34670498142455,28.14534593368496,129.35579461139565,3.06,0.0
2026-09-05,2026-09-06T03:20:00+09:00,286,2860.0,0,0,28.145298356781804,129.3557080922345,28.13877527418847,129.33883828265246,2.86,0.0
2026-09-05,2026-09-06T03:30:00+09:00,392,3920.0,0,0,28.138731818227598,129.33874900228906,28.143355065872495,129.31964152052893,3.92,0.0
2026-09-05,2026-09-06T03:40:00+09:00,31,310.0,0,0,28.143426415122256,129.3197036053705,28.145561626985558,129.3200252437715,0.31,0.0
