feature_set,estimator,feature_count,nights_scored,eligible,top30_hits,top30_rate,top1_hits,top1_rate,top5_hits,top5_rate,top10_hits,top10_rate,median_rank_pct,selection_score
no_recency_road_capture30,logistic_c02,45,31,90,12,0.13333333333333333,3,0.03333333333333333,14,0.15555555555555556,25,0.2777777777777778,0.324367260777785,1.082260814055552
no_recency_road,logistic_c02,49,31,90,14,0.15555555555555556,4,0.044444444444444446,13,0.14444444444444443,21,0.23333333333333334,0.43245227606461084,1.017107195301028
terrain_large_capture,logistic_c02,21,31,90,14,0.15555555555555556,4,0.044444444444444446,13,0.14444444444444443,21,0.23333333333333334,0.43245227606461084,1.017107195301028
terrain_large_no_bio,logistic_c02,21,31,90,14,0.15555555555555556,4,0.044444444444444446,13,0.14444444444444443,21,0.23333333333333334,0.43245227606461084,1.017107195301028
no_recency,logistic_c02,54,31,90,14,0.15555555555555556,2,0.022222222222222223,10,0.1111111111111111,18,0.2,0.440882506047708,0.9128920803094793
no_road,logistic_c02,53,31,90,12,0.13333333333333333,3,0.03333333333333333,9,0.1,19,0.2111111111111111,0.4635362917096663,0.8237874097007224
full58,logistic_c02,58,31,90,10,0.1111111111111111,2,0.022222222222222223,8,0.08888888888888889,15,0.16666666666666666,0.4391125945432832,0.647110369395025
terrain_large,logistic_c02,9,31,90,8,0.08888888888888889,3,0.03333333333333333,6,0.06666666666666667,18,0.2,0.44768234492160874,0.5983810497614178
