night,event_id,slot_minute,label,sin_hour,cos_hour,sin_doy,cos_doy,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,weather_code,surface_pressure,cloud_cover,global_prior,local3km_prior,actual_minute
2026-05-24,78.0:904,0,1,0.0,1.0,0.6166212130956382,-0.7872599821916922,24.0,97.0,23.5,0.0,3.0,1009.1,100.0,0.6903325305011524,0.9452624752728856,1431
2026-05-24,78.0:904,30,0,0.13052619222005157,0.9914448613738104,0.6166212130956382,-0.7872599821916922,24.25,96.0,23.6,0.05,3.0,1009.05,91.0,0.5560339751169523,0.8129885429684365,1431
2026-05-24,78.0:904,60,0,0.25881904510252074,0.9659258262890683,0.6166212130956382,-0.7872599821916922,24.5,95.0,23.7,0.1,51.0,1009.0,82.0,0.42361857430382305,0.6361107435230455,1431
2026-05-24,78.0:904,90,0,0.3826834323650898,0.9238795325112867,0.6166212130956382,-0.7872599821916922,24.95,93.0,23.75,0.1,51.0,1009.5,87.0,0.3031674977121424,0.4525387671199112,1431
2026-05-24,78.0:904,120,0,0.49999999999999994,0.8660254037844387,0.6166212130956382,-0.7872599821916922,25.4,91.0,23.8,0.1,51.0,1010.0,92.0,0.20224935391871993,0.29245305677807415,1431
2026-05-24,78.0:904,150,0,0.6087614290087207,0.7933533402912352,0.6166212130956382,-0.7872599821916922,25.5,89.5,23.65,0.05,51.0,1010.15,96.0,0.12482917559296514,0.1714813441236766,1431
2026-05-24,78.0:904,180,0,0.7071067811865475,0.7071067811865476,0.6166212130956382,-0.7872599821916922,25.6,88.0,23.5,0.0,3.0,1010.3,100.0,0.0708001713166214,0.09110549986912547,1431
2026-05-24,78.0:904,210,0,0.7933533402912352,0.6087614290087207,0.6166212130956382,-0.7872599821916922,25.75,86.5,23.35,0.05,3.0,1010.2,100.0,0.0366919134533538,0.04379377389691544,1431
2026-05-24,78.0:904,240,0,0.8660254037844386,0.5000000000000001,0.6166212130956382,-0.7872599821916922,25.9,85.0,23.2,0.1,51.0,1010.1,100.0,0.01729549425524929,0.019019383397828757,1431
2026-05-24,78.0:904,270,0,0.9238795325112867,0.38268343236508984,0.6166212130956382,-0.7872599821916922,25.85,84.0,23.0,0.2,51.0,1009.85,91.5,0.007388636021698018,0.007452534066202708,1431
2026-05-24,78.0:904,300,0,0.9659258262890683,0.25881904510252074,0.6166212130956382,-0.7872599821916922,25.8,83.0,22.8,0.3,51.0,1009.6,83.0,0.002852775821054958,0.0026314271490559325,1431
2026-05-24,78.0:904,330,0,0.9914448613738104,0.1305261922200517,0.6166212130956382,-0.7872599821916922,26.0,82.5,22.85,0.25,51.0,1009.6500000000001,90.5,0.0009934206117332514,0.0008363225284902943,1431
