canonical_id,timestamp,individual_count,lat,lon,segment_id,event_match_distance_m,positive_learning_rows,nearest_visit_delta_s,audit_status
1,2025-09-17 18:40:00+09:00,1,,,,,0,,missing_gps
2,2025-09-18 19:00:00+09:00,1,,,,,0,,missing_gps
3,2025-09-20 20:00:00+09:00,1,,,,,0,,missing_gps
4,2025-09-22 20:00:00+09:00,1,,,,,0,,missing_gps
5,2025-09-25 20:00:00+09:00,1,,,,,0,,missing_gps
6,2025-09-26 22:00:00+09:00,1,,,,,0,,missing_gps
7,2025-09-28 21:00:00+09:00,1,,,,,0,,missing_gps
10,2025-10-12 20:00:00+09:00,1,,,,,0,,missing_gps
11,2025-10-13 01:40:00+09:00,1,,,,,0,,missing_gps
12,2025-10-15 21:00:00+09:00,1,,,,,0,,missing_gps
15,2025-10-17 21:00:00+09:00,1,,,,,0,,missing_gps
16,2025-10-17 22:00:00+09:00,1,,,,,0,,missing_gps
17,2025-10-18 18:30:00+09:00,1,,,,,0,,missing_gps
20,2025-10-18 23:00:00+09:00,1,,,,,0,,missing_gps
21,2025-10-19 21:00:00+09:00,1,,,,,0,,missing_gps
24,2025-10-21 21:50:00+09:00,1,,,,,0,,missing_gps
25,2025-10-21 22:10:00+09:00,1,,,,,0,,missing_gps
26,2025-10-21 22:20:00+09:00,1,,,,,0,,missing_gps
28,2025-10-22 00:10:00+09:00,1,,,,,0,,missing_gps
29,2025-10-26 20:55:00+09:00,1,,,,,0,,missing_gps
30,2025-10-26 21:00:00+09:00,1,,,,,0,,missing_gps
31,2025-10-26 21:30:00+09:00,1,,,,,0,,missing_gps
32,2025-10-28 22:40:00+09:00,1,,,,,0,,missing_gps
33,2025-10-31 21:40:00+09:00,1,,,,,0,,missing_gps
34,2025-11-04 21:30:00+09:00,1,,,,,0,,missing_gps
35,2025-11-05 22:40:00+09:00,1,,,,,0,,missing_gps
36,2025-11-06 19:10:00+09:00,1,,,,,0,,missing_gps
37,2025-11-06 19:50:00+09:00,1,,,,,0,,missing_gps
38,,1,,,,,0,,missing_gps
39,2025-11-08 20:00:00+09:00,1,,,,,0,,missing_gps
40,2025-11-09 20:00:00+09:00,1,,,,,0,,missing_gps
42,2025-11-18 18:30:00+09:00,1,,,,,0,,missing_gps
44,2025-11-18 23:00:00+09:00,1,,,,,0,,missing_gps
45,2025-11-21 18:30:00+09:00,1,,,,,0,,missing_gps
46,2025-11-21 20:00:00+09:00,1,,,,,0,,missing_gps
47,,2,,,,,0,,missing_gps
50,2026-04-13 21:35:00+09:00,1,,,,,0,,missing_gps
52,2026-04-15 20:40:00+09:00,1,,,,,0,,missing_gps
54,2026-04-17 21:40:00+09:00,1,,,,,0,,missing_gps
55,2026-04-17 22:20:00+09:00,1,,,,,0,,missing_gps
56,2026-04-19 21:40:00+09:00,1,,,,,0,,missing_gps
57,2026-04-19 22:20:00+09:00,1,,,,,0,,missing_gps
58,2026-04-20 22:05:00+09:00,1,,,,,0,,missing_gps
59,2026-04-20 22:10:00+09:00,1,,,,,0,,missing_gps
60,2026-05-01 22:10:00+09:00,1,,,,,0,,missing_gps
61,2026-05-03 21:46:00+09:00,1,,,,,0,,missing_gps
62,,1,,,,,0,,missing_gps
63,,1,,,,,0,,missing_gps
64,,1,,,,,0,,missing_gps
65,2026-05-13 20:20:00+09:00,1,28.19478892767375,129.3877447170096,OSM_ro48_0_55,9.04753067377179,1,0.0,ok
66,2026-05-13 20:56:00+09:00,1,28.18021386119517,129.3940415819799,OSM_ro104_0_16,7.492282718272256,1,0.0,ok
67,2026-05-15 21:03:00+09:00,1,28.16646677039707,129.3375946564469,OSM_ro103_0_3,13.436977331070342,1,0.0,ok
68,2026-05-15 22:05:00+09:00,1,28.18383006727452,129.3607738229703,OSM_ro393_0_107,2.4431871377128043,1,0.0,ok
69,2026-05-18 20:52:00+09:00,1,28.1688802151448,129.3810057293118,OSM_ro278_0_22,1.2393637488699785,1,0.0,ok
70,2026-05-18 21:51:00+09:00,1,28.17422778898654,129.3970220166341,OSM_ro289_0_88,2.3263114356720944,1,0.0,ok
71,2026-05-18 23:09:00+09:00,1,,,,,0,,missing_gps
72,2026-05-19 22:47:00+09:00,1,28.16879879685879,129.2981412169796,OSM_ro877_0_3,1.6590703578204735,1,0.0,ok
73,2026-05-21 21:57:00+09:00,1,28.18025572532948,129.393983881406,OSM_ro104_0_16,1.9239905864747116,1,0.0,ok
74,2026-05-21 22:56:00+09:00,1,28.17137603126234,129.3786636194121,OSM_ro146_0_336,0.8934478848870354,1,0.0,ok
75,2026-05-23 23:22:00+09:00,1,28.16858429421111,129.2989171927936,OSM_ro877_0_11,4.02102908517952,1,0.0,ok
76,2026-05-24 00:13:00+09:00,1,28.19108566366789,129.2915409920944,OSM_ro903_0_2,8.155026695132587,1,0.0,ok
77,2026-05-24 00:42:00+09:00,1,28.2113036410536,129.2831765374371,OSM_ro53_0_14,11.129147945519634,1,0.0,ok
78,2026-05-24 23:51:00+09:00,1,28.16876770791984,129.2977930157056,OSM_ro877_0_0,0.28320590638621096,1,0.0,ok
79,2026-05-27 23:06:00+09:00,1,,,,,0,,missing_gps
81,2026-05-29 23:49:00+09:00,1,,,,,0,,missing_gps
82,2026-05-30 00:17:00+09:00,1,,,,,0,,missing_gps
83,2026-05-30 00:55:00+09:00,1,,,,,0,,missing_gps
84,2026-06-04 21:15:00+09:00,1,28.13654484409532,129.3296125059078,OSM_ro119_0_253,2.1151079273106794,1,0.0,ok
85,2026-06-04 23:01:00+09:00,1,28.16889317563843,129.3808443734128,OSM_ro278_0_24,4.280437243288827,1,0.0,ok
86,2026-06-04 23:04:00+09:00,1,28.16940751997438,129.3797662808815,OSM_ro441_0_7,5.111440828133906,1,0.0,ok
87,2026-06-04 23:20:00+09:00,1,28.17394063521116,129.383009682215,OSM_ro146_0_242,4.22726195542758,1,0.0,ok
88,2026-06-05 02:21:00+09:00,1,28.15396170336044,129.294300365735,OSM_ro222_0_90,6.150694235180317,1,0.0,ok
91,2026-06-06 21:03:00+09:00,1,28.16502193292446,129.3745137475059,OSM_ro34_0_24,4.826543009198661,1,0.0,ok
