selection_rank,radius_m,bandwidth_h,recency_tau_days,local_weight,min_local,all_eligible,all_nights_scored,all_median_error_min,all_mean_error_min,all_within_30m_hits,all_within_30m_rate,all_within_60m_hits,all_within_60m_rate,all_within_90m_hits,all_within_90m_rate,all_within_120m_hits,all_within_120m_rate,all_selection_score,selection_eligible,selection_nights_scored,selection_median_error_min,selection_mean_error_min,selection_within_30m_hits,selection_within_30m_rate,selection_within_60m_hits,selection_within_60m_rate,selection_within_90m_hits,selection_within_90m_rate,selection_within_120m_hits,selection_within_120m_rate,selection_selection_score,confirmation_eligible,confirmation_nights_scored,confirmation_median_error_min,confirmation_mean_error_min,confirmation_within_30m_hits,confirmation_within_30m_rate,confirmation_within_60m_hits,confirmation_within_60m_rate,confirmation_within_90m_hits,confirmation_within_90m_rate,confirmation_within_120m_hits,confirmation_within_120m_rate,confirmation_selection_score
27,2000,1.0,120.0,0.95,2,138,44,87.0,108.1376811594203,27,0.1956521739130435,49,0.35507246376811596,72,0.5217391304347826,90,0.6521739130434783,3.4226449275362323,98,29,92.0,121.0,12,0.12244897959183673,31,0.3163265306122449,46,0.46938775510204084,60,0.6122448979591837,2.8620181405895697,40,15,65.0,76.625,15,0.375,18,0.45,26,0.65,30,0.75,4.809722222222223
28,250,1.5,,0.95,2,138,44,97.0,108.3840579710145,25,0.18115942028985507,48,0.34782608695652173,65,0.47101449275362317,83,0.6014492753623188,3.176871980676328,98,29,117.0,118.77551020408163,18,0.1836734693877551,29,0.29591836734693877,41,0.41836734693877553,54,0.5510204081632653,2.8477040816326533,40,15,66.0,82.925,7,0.175,19,0.475,24,0.6,29,0.725,3.958333333333333
29,1000,1.5,120.0,0.95,2,138,44,87.5,106.45652173913044,23,0.16666666666666666,45,0.32608695652173914,71,0.5144927536231884,89,0.644927536231884,3.197312801932367,98,29,97.5,118.61224489795919,14,0.14285714285714285,27,0.2755102040816326,47,0.47959183673469385,56,0.5714285714285714,2.7931547619047614,40,15,62.0,76.675,9,0.225,18,0.45,24,0.6,33,0.825,4.188888888888889
30,250,1.0,,0.95,2,138,44,97.5,113.73188405797102,29,0.21014492753623187,44,0.3188405797101449,64,0.463768115942029,79,0.572463768115942,3.161684782608696,98,29,114.0,126.0,18,0.1836734693877551,26,0.2653061224489796,42,0.42857142857142855,52,0.5306122448979592,2.7600340136054426,40,15,80.0,83.675,11,0.275,18,0.45,22,0.55,27,0.675,4.11388888888889
31,1000,1.0,120.0,0.95,2,138,44,93.5,110.73188405797102,23,0.16666666666666666,43,0.3115942028985507,67,0.4855072463768116,83,0.6014492753623188,3.0440519323671498,98,29,115.0,122.48979591836735,15,0.15306122448979592,27,0.2755102040816326,42,0.42857142857142855,54,0.5510204081632653,2.6872165532879815,40,15,78.0,81.925,8,0.2,16,0.4,25,0.625,29,0.725,3.8666666666666667
32,2000,0.75,,0.95,2,138,44,90.0,115.78985507246377,25,0.18115942028985507,46,0.3333333333333333,69,0.5,85,0.6159420289855072,3.2155797101449277,98,29,99.5,128.77551020408163,11,0.11224489795918367,29,0.29591836734693877,44,0.4489795918367347,57,0.5816326530612245,2.6781320861678006,40,15,65.0,83.975,14,0.35,17,0.425,25,0.625,28,0.7,4.534722222222222
33,2000,1.0,,0.95,2,138,44,91.5,112.71739130434783,22,0.15942028985507245,48,0.34782608695652173,67,0.4855072463768116,87,0.6304347826086957,3.1555253623188406,98,29,103.0,125.06122448979592,9,0.09183673469387756,31,0.3163265306122449,43,0.4387755102040816,57,0.5816326530612245,2.632454648526077,40,15,65.0,82.475,13,0.325,17,0.425,24,0.6,30,0.75,4.434722222222223
34,500,0.75,120.0,0.95,2,138,44,106.0,113.73188405797102,22,0.15942028985507245,41,0.2971014492753623,57,0.41304347826086957,83,0.6014492753623188,2.8092995169082124,98,29,111.5,122.42857142857143,14,0.14285714285714285,27,0.2755102040816326,38,0.3877551020408163,56,0.5714285714285714,2.590036848072562,40,15,91.5,92.425,8,0.2,14,0.35,19,0.475,27,0.675,3.3479166666666664
35,250,0.75,,0.95,2,138,44,108.0,119.02173913043478,25,0.18115942028985507,41,0.2971014492753623,59,0.427536231884058,78,0.5652173913043478,2.886231884057971,98,29,116.0,131.75510204081633,16,0.16326530612244897,25,0.25510204081632654,37,0.37755102040816324,52,0.5306122448979592,2.54297052154195,40,15,82.0,87.825,9,0.225,16,0.4,22,0.55,26,0.65,3.736111111111111
36,500,1.0,,0.95,2,138,44,109.0,115.73188405797102,24,0.17391304347826086,40,0.2898550724637681,58,0.42028985507246375,79,0.572463768115942,2.8268719806763283,98,29,119.0,126.44897959183673,15,0.15306122448979592,24,0.24489795918367346,39,0.3979591836734694,51,0.5204081632653061,2.4979875283446713,40,15,91.5,89.475,9,0.225,16,0.4,19,0.475,28,0.7,3.622916666666667
37,1000,1.0,,0.95,2,138,44,96.0,117.05072463768116,24,0.17391304347826086,39,0.2826086956521739,66,0.4782608695652174,80,0.5797101449275363,2.946376811594203,98,29,118.0,131.75510204081633,14,0.14285714285714285,23,0.23469387755102042,40,0.40816326530612246,52,0.5306122448979592,2.458560090702948,40,15,71.5,81.025,10,0.25,16,0.4,26,0.65,28,0.7,4.100694444444445
38,1000,0.75,120.0,0.95,2,138,44,102.5,116.7463768115942,22,0.15942028985507245,42,0.30434782608695654,59,0.427536231884058,81,0.5869565217391305,2.8503925120772946,98,29,117.0,131.3469387755102,13,0.1326530612244898,24,0.24489795918367346,34,0.3469387755102041,52,0.5306122448979592,2.327295918367347,40,15,71.5,80.975,9,0.225,18,0.45,25,0.625,29,0.725,4.125694444444444
39,500,0.75,,0.95,2,138,44,110.5,120.92028985507247,21,0.15217391304347827,37,0.26811594202898553,52,0.37681159420289856,77,0.5579710144927537,2.5711654589371986,98,29,119.0,133.44897959183675,11,0.11224489795918367,22,0.22448979591836735,32,0.32653061224489793,50,0.5102040816326531,2.1204365079365077,40,15,88.5,90.225,10,0.25,15,0.375,20,0.5,27,0.675,3.677083333333333
40,1000,0.75,,0.95,2,138,44,110.5,124.73188405797102,21,0.15217391304347827,39,0.2826086956521739,55,0.39855072463768115,76,0.5507246376811594,2.650875603864734,98,29,122.5,142.9591836734694,11,0.11224489795918367,21,0.21428571428571427,30,0.30612244897959184,48,0.4897959183673469,2.023738662131519,40,15,71.5,80.075,10,0.25,18,0.45,25,0.625,28,0.7,4.200694444444444
