night,phase,rank,slot_time,score
2026-08-15,selection,74,2026-08-15T23:10:00+09:00,0.9328530981683463
2026-08-15,selection,75,2026-08-15T23:00:00+09:00,0.9312558165741259
2026-08-15,selection,76,2026-08-15T23:30:00+09:00,0.9312558165741259
2026-08-15,selection,77,2026-08-16T01:30:00+09:00,0.930983479756468
2026-08-15,selection,78,2026-08-15T23:10:00+09:00,0.9299834339804477
2026-08-15,selection,79,2026-08-15T23:40:00+09:00,0.9299834339804477
2026-08-15,selection,80,2026-08-15T23:00:00+09:00,0.9207461268392831
2026-08-15,selection,81,2026-08-15T23:40:00+09:00,0.9207461268392831
2026-08-15,selection,82,2026-08-16T00:10:00+09:00,0.9205785275527618
2026-08-15,selection,83,2026-08-16T00:40:00+09:00,0.9205785275527618
2026-08-15,selection,84,2026-08-16T00:50:00+09:00,0.9190478132885662
2026-08-15,selection,85,2026-08-16T00:20:00+09:00,0.9190478132885662
2026-08-15,selection,86,2026-08-16T01:40:00+09:00,0.9159368454966167
2026-08-15,selection,87,2026-08-16T00:50:00+09:00,0.9139178770729912
2026-08-15,selection,88,2026-08-16T00:00:00+09:00,0.9139178770729912
2026-08-15,selection,89,2026-08-16T00:30:00+09:00,0.9130659322458016
2026-08-15,selection,90,2026-08-16T00:00:00+09:00,0.9130659322458016
2026-08-15,selection,91,2026-08-16T01:20:00+09:00,0.9108242740645824
2026-08-15,selection,92,2026-08-16T01:50:00+09:00,0.9108242740645824
2026-08-15,selection,93,2026-08-16T00:20:00+09:00,0.9076043291167434
2026-08-15,selection,94,2026-08-16T00:50:00+09:00,0.9076043291167434
2026-08-15,selection,95,2026-08-16T00:10:00+09:00,0.9028968995264819
2026-08-15,selection,96,2026-08-16T00:40:00+09:00,0.9028968995264819
2026-08-15,selection,97,2026-08-15T23:30:00+09:00,0.9024572081783926
2026-08-15,selection,98,2026-08-15T23:00:00+09:00,0.9024572081783926
2026-08-15,selection,99,2026-08-16T01:30:00+09:00,0.9019652535498579
2026-08-15,selection,100,2026-08-16T00:50:00+09:00,0.901637932938465
2026-08-15,selection,101,2026-08-16T00:20:00+09:00,0.901637932938465
2026-08-15,selection,102,2026-08-16T01:20:00+09:00,0.9007625715294402
2026-08-15,selection,103,2026-08-16T01:50:00+09:00,0.9007625715294402
2026-08-15,selection,104,2026-08-16T00:10:00+09:00,0.9003736542562142
2026-08-15,selection,105,2026-08-16T00:40:00+09:00,0.9003736542562142
2026-08-15,selection,106,2026-08-16T01:50:00+09:00,0.8986632791905329
2026-08-15,selection,107,2026-08-16T01:00:00+09:00,0.8986632791905329
2026-08-15,selection,108,2026-08-16T02:20:00+09:00,0.895850089561062
2026-08-15,selection,109,2026-08-16T02:50:00+09:00,0.895850089561062
2026-08-15,selection,110,2026-08-15T23:40:00+09:00,0.8949003379168794
2026-08-15,selection,111,2026-08-15T23:10:00+09:00,0.8949003379168794
2026-08-15,selection,112,2026-08-15T23:30:00+09:00,0.8940489741726001
2026-08-15,selection,113,2026-08-15T23:00:00+09:00,0.8940489741726001
2026-08-15,selection,114,2026-08-15T23:20:00+09:00,0.891690478792415
2026-08-15,selection,115,2026-08-16T01:50:00+09:00,0.8902995353060512
2026-08-15,selection,116,2026-08-16T01:10:00+09:00,0.8902995353060512
2026-08-15,selection,117,2026-08-16T00:30:00+09:00,0.8884296397442375
2026-08-15,selection,118,2026-08-16T00:00:00+09:00,0.8884296397442375
2026-08-15,selection,119,2026-08-16T02:10:00+09:00,0.8883485450676197
2026-08-15,selection,120,2026-08-16T02:40:00+09:00,0.8883485450676197
2026-08-15,selection,121,2026-08-15T23:00:00+09:00,0.8880058127877314
2026-08-15,selection,122,2026-08-15T23:40:00+09:00,0.8880058127877314
2026-08-15,selection,123,2026-08-16T02:20:00+09:00,0.887503414373721
2026-08-15,selection,124,2026-08-16T02:50:00+09:00,0.887503414373721
2026-08-15,selection,125,2026-08-16T01:30:00+09:00,0.8868144334785281
2026-08-15,selection,126,2026-08-15T23:30:00+09:00,0.8854807804972065
2026-08-15,selection,127,2026-08-15T23:00:00+09:00,0.8854807804972065
2026-08-15,selection,128,2026-08-16T00:00:00+09:00,0.8849864235914174
2026-08-15,selection,129,2026-08-16T00:40:00+09:00,0.8849864235914174
2026-08-15,selection,130,2026-08-15T23:20:00+09:00,0.8824280744141803
2026-08-15,selection,131,2026-08-16T02:20:00+09:00,0.8815044965094666
2026-08-15,selection,132,2026-08-16T02:50:00+09:00,0.8815044965094666
2026-08-15,selection,133,2026-08-15T23:30:00+09:00,0.8809857173782275
2026-08-15,selection,134,2026-08-15T23:00:00+09:00,0.8809857173782275
2026-08-15,selection,135,2026-08-16T02:40:00+09:00,0.8789979506221804
2026-08-15,selection,136,2026-08-15T23:10:00+09:00,0.8755892454120108
2026-08-15,selection,137,2026-08-15T23:40:00+09:00,0.8755892454120108
2026-08-15,selection,138,2026-08-16T00:50:00+09:00,0.8751567641612296
2026-08-15,selection,139,2026-08-16T00:20:00+09:00,0.8751567641612296
2026-08-15,selection,140,2026-08-16T01:20:00+09:00,0.8750844695988784
2026-08-15,selection,141,2026-08-16T01:50:00+09:00,0.8750844695988784
2026-08-15,selection,142,2026-08-16T02:40:00+09:00,0.8745357970028989
2026-08-15,selection,143,2026-08-15T23:00:00+09:00,0.8737849555839522
2026-08-15,selection,144,2026-08-15T23:40:00+09:00,0.8737849555839522
2026-08-15,selection,145,2026-08-15T23:20:00+09:00,0.8729348786682646
2026-08-15,selection,146,2026-08-15T23:20:00+09:00,0.8726202130414294
2026-08-15,selection,147,2026-08-16T00:30:00+09:00,0.8715171431456105
2026-08-15,selection,148,2026-08-16T00:00:00+09:00,0.8715171431456105
2026-08-15,selection,149,2026-08-15T23:00:00+09:00,0.8714402255526794
2026-08-15,selection,150,2026-08-15T23:30:00+09:00,0.8714402255526794
2026-08-15,selection,151,2026-08-16T02:20:00+09:00,0.8691788339796799
2026-08-15,selection,152,2026-08-16T02:50:00+09:00,0.8691788339796799
2026-08-15,selection,153,2026-08-16T01:20:00+09:00,0.8685670662037412
2026-08-15,selection,154,2026-08-16T01:50:00+09:00,0.8685670662037412
2026-08-15,selection,155,2026-08-15T23:30:00+09:00,0.8684252824776904
2026-08-15,selection,156,2026-08-15T23:00:00+09:00,0.8684252824776904
2026-08-15,selection,157,2026-08-16T02:40:00+09:00,0.8673877538160863
2026-08-15,selection,158,2026-08-16T02:10:00+09:00,0.8673877538160863
2026-08-15,selection,159,2026-08-16T02:30:00+09:00,0.8665439005295802
2026-08-15,selection,160,2026-08-16T02:00:00+09:00,0.8665439005295802
2026-08-15,selection,161,2026-08-16T02:20:00+09:00,0.8662315386497842
2026-08-15,selection,162,2026-08-16T02:50:00+09:00,0.8662315386497842
2026-08-15,selection,163,2026-08-16T01:40:00+09:00,0.8653740879007586
2026-08-15,selection,164,2026-08-16T01:10:00+09:00,0.8653740879007586
2026-08-15,selection,165,2026-08-16T01:30:00+09:00,0.8653647924608991
2026-08-15,selection,166,2026-08-16T00:40:00+09:00,0.8636856357752908
2026-08-15,selection,167,2026-08-16T00:10:00+09:00,0.8636856357752908
2026-08-15,selection,168,2026-08-16T01:30:00+09:00,0.863512258561824
2026-08-15,selection,169,2026-08-16T02:20:00+09:00,0.8620673202390147
2026-08-15,selection,170,2026-08-16T02:50:00+09:00,0.8620673202390147
2026-08-15,selection,171,2026-08-15T23:10:00+09:00,0.8613811606683136
2026-08-15,selection,172,2026-08-15T23:40:00+09:00,0.8613811606683136
2026-08-15,selection,173,2026-08-16T00:40:00+09:00,0.8591895698557417
2026-08-15,selection,174,2026-08-16T00:10:00+09:00,0.8591895698557417
2026-08-15,selection,175,2026-08-16T00:00:00+09:00,0.8591818748265515
2026-08-15,selection,176,2026-08-16T00:30:00+09:00,0.8591818748265515
2026-08-15,selection,177,2026-08-15T23:30:00+09:00,0.8591402484200921
2026-08-15,selection,178,2026-08-15T23:00:00+09:00,0.8591402484200921
2026-08-15,selection,179,2026-08-16T00:10:00+09:00,0.8590839139448129
2026-08-15,selection,180,2026-08-16T00:40:00+09:00,0.8590839139448129
2026-08-15,selection,181,2026-08-16T01:50:00+09:00,0.8562812216279864
2026-08-15,selection,182,2026-08-16T01:20:00+09:00,0.8562812216279864
2026-08-15,selection,183,2026-08-15T23:30:00+09:00,0.8562800840608414
2026-08-15,selection,184,2026-08-15T23:00:00+09:00,0.8562800840608414
2026-08-15,selection,185,2026-08-16T01:30:00+09:00,0.8562735526463942
2026-08-15,selection,186,2026-08-16T01:00:00+09:00,0.8562735526463942
2026-08-15,selection,187,2026-08-16T02:10:00+09:00,0.8550747702359548
2026-08-15,selection,188,2026-08-16T02:40:00+09:00,0.8550747702359548
2026-08-15,selection,189,2026-08-16T00:30:00+09:00,0.8531318630124662
2026-08-15,selection,190,2026-08-16T00:00:00+09:00,0.8531318630124662
2026-08-15,selection,191,2026-08-15T23:20:00+09:00,0.85253338232367
2026-08-15,selection,192,2026-08-16T01:10:00+09:00,0.8514396642638883
2026-08-15,selection,193,2026-08-16T01:50:00+09:00,0.8514396642638883
2026-08-15,selection,194,2026-08-16T02:40:00+09:00,0.8500110399069724
2026-08-15,selection,195,2026-08-16T02:10:00+09:00,0.8500110399069724
2026-08-15,selection,196,2026-08-16T00:40:00+09:00,0.8483828309566495
2026-08-15,selection,197,2026-08-16T00:10:00+09:00,0.8483828309566495
2026-08-15,selection,198,2026-08-15T23:50:00+09:00,0.8479161182140514
2026-08-15,selection,199,2026-08-15T23:20:00+09:00,0.8479161182140514
2026-08-15,selection,200,2026-08-16T02:30:00+09:00,0.8462917687255956
2026-08-17,selection,1,2026-08-18T00:00:00+09:00,0.9999057586185157
2026-08-17,selection,2,2026-08-18T00:30:00+09:00,0.9999057586185157
2026-08-17,selection,3,2026-08-18T00:50:00+09:00,0.9995162007239523
2026-08-17,selection,4,2026-08-18T00:20:00+09:00,0.9995162007239523
2026-08-17,selection,5,2026-08-18T00:10:00+09:00,0.9989081489562026
2026-08-17,selection,6,2026-08-18T00:50:00+09:00,0.9989081489562026
2026-08-17,selection,7,2026-08-18T00:00:00+09:00,0.9971333660278773
2026-08-17,selection,8,2026-08-18T00:40:00+09:00,0.9971333660278773
2026-08-17,selection,9,2026-08-18T00:00:00+09:00,0.993691663552326
2026-08-17,selection,10,2026-08-18T00:30:00+09:00,0.993691663552326
2026-08-17,selection,11,2026-08-18T00:10:00+09:00,0.9932538681728015
2026-08-17,selection,12,2026-08-18T00:50:00+09:00,0.9932538681728015
2026-08-17,selection,13,2026-08-18T00:40:00+09:00,0.9881351903545896
2026-08-17,selection,14,2026-08-18T00:00:00+09:00,0.9881351903545896
2026-08-17,selection,15,2026-08-18T01:00:00+09:00,0.9719756433633565
2026-08-17,selection,16,2026-08-18T01:30:00+09:00,0.9719756433633565
2026-08-17,selection,17,2026-08-18T01:40:00+09:00,0.9586809519500264
2026-08-17,selection,18,2026-08-18T01:00:00+09:00,0.9586809519500264
2026-08-17,selection,19,2026-08-18T01:50:00+09:00,0.9568312581078285
2026-08-17,selection,20,2026-08-18T01:20:00+09:00,0.9568312581078285
2026-08-17,selection,21,2026-08-18T01:30:00+09:00,0.95142565740098
